French,English
histoire,history
seulement,only
police,police
aide,help
genre,kind
mois,month
frère,brother
laisser,let
mettre,to put
laisse,leash
eux,them
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
heures,hours
vont,will
aucune,any
place,square
parle,speak
savais,knew
étaient,were
attention,Warning
voici,here is
affaire,case
type,type
donné,given
train,train
corps,body
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
main,hand
première,first
tellement,so much
venu,came
suite,after
pardon,sorry
minutes,minutes
demandé,request
aimerais,would like to
aujourd'hui,today
mari,husband
enfin,finally
eau,water
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
jouer,to play
